# MD Simulation - NVT Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       101       10.100       353.04      0.03689445   -756.73312523   -756.69623078
       102       10.200       348.87      0.03645853   -756.73302955   -756.69657102
       103       10.300       346.54      0.03621501   -756.73290289   -756.69668788
       104       10.400       344.20      0.03597027   -756.73275752   -756.69678724
       105       10.500       336.24      0.03513921   -756.73260646   -756.69746726
       106       10.600       335.36      0.03504666   -756.73246480   -756.69741814
       107       10.700       328.88      0.03436980   -756.73234403   -756.69797424
       108       10.800       322.73      0.03372694   -756.73225701   -756.69853008
       109       10.900       319.63      0.03340238   -756.73221327   -756.69881089
       110       11.000       321.09      0.03355550   -756.73221990   -756.69866440
       111       11.100       326.32      0.03410198   -756.73228007   -756.69817809
       112       11.200       332.37      0.03473476   -756.73239464   -756.69765988
       113       11.300       339.96      0.03552774   -756.73256097   -756.69703324
       114       11.400       342.00      0.03574094   -756.73277357   -756.69703263
       115       11.500       347.11      0.03627485   -756.73302331   -756.69674847
       116       11.600       358.19      0.03743247   -756.73330144   -756.69586897
       117       11.700       366.31      0.03828124   -756.73359885   -756.69531761
       118       11.800       383.19      0.04004532   -756.73390236   -756.69385704
       119       11.900       399.91      0.04179198   -756.73420243   -756.69241044
       120       12.000       409.57      0.04280201   -756.73448666   -756.69168465
       121       12.100       417.47      0.04362739   -756.73474120   -756.69111381
       122       12.200       426.01      0.04451982   -756.73495804   -756.69043822
       123       12.300       429.88      0.04492432   -756.73513114   -756.69020681
       124       12.400       431.97      0.04514317   -756.73525702   -756.69011385
       125       12.500       433.16      0.04526714   -756.73533613   -756.69006899
       126       12.600       436.14      0.04557883   -756.73537187   -756.68979304
       127       12.700       432.14      0.04516048   -756.73537082   -756.69021034
       128       12.800       433.74      0.04532795   -756.73534145   -756.69001350
       129       12.900       425.53      0.04446942   -756.73529484   -756.69082543
       130       13.000       419.97      0.04388890   -756.73524560   -756.69135670
       131       13.100       412.29      0.04308662   -756.73520750   -756.69212089
       132       13.200       407.74      0.04261093   -756.73519499   -756.69258406
       133       13.300       405.12      0.04233649   -756.73522026   -756.69288377
       134       13.400       408.54      0.04269437   -756.73529372   -756.69259935
       135       13.500       411.98      0.04305413   -756.73542164   -756.69236751
       136       13.600       415.55      0.04342682   -756.73560634   -756.69217951
       137       13.700       416.91      0.04356871   -756.73584616   -756.69227746
       138       13.800       422.23      0.04412477   -756.73613418   -756.69200941
       139       13.900       433.71      0.04532433   -756.73646197   -756.69113765
       140       14.000       449.42      0.04696651   -756.73681801   -756.68985150
       141       14.100       466.00      0.04869931   -756.73718870   -756.68848939
       142       14.200       473.39      0.04947196   -756.73755740   -756.68808543
       143       14.300       489.06      0.05110924   -756.73790517   -756.68679593
       144       14.400       489.95      0.05120200   -756.73822206   -756.68702006
       145       14.500       494.97      0.05172703   -756.73849287   -756.68676583
       146       14.600       499.83      0.05223463   -756.73871359   -756.68647896
       147       14.700       507.60      0.05304650   -756.73888105   -756.68583455
       148       14.800       511.64      0.05346925   -756.73899625   -756.68552700
       149       14.900       516.55      0.05398197   -756.73906228   -756.68508031
