# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       101       50.500       360.04      0.03762541   -756.68718146   -756.64955605
       102       51.000       305.19      0.03189412   -756.68746545   -756.65557132
       103       51.500       231.83      0.02422718   -756.68810701   -756.66387983
       104       52.000       508.24      0.05311371   -756.68815972   -756.63504601
       105       52.500       376.21      0.03931575   -756.68849561   -756.64917986
       106       53.000       279.43      0.02920168   -756.68863156   -756.65942988
       107       53.500       420.42      0.04393614   -756.68902840   -756.64509226
       108       54.000       276.96      0.02894344   -756.68898045   -756.66003701
       109       54.500       258.81      0.02704714   -756.68941262   -756.66236548
       110       55.000       339.59      0.03548885   -756.68922203   -756.65373318
       111       55.500       297.08      0.03104603   -756.68867978   -756.65763376
       112       56.000       220.15      0.02300673   -756.68900491   -756.66599818
       113       56.500       333.05      0.03480483   -756.69068492   -756.65588009
       114       57.000       426.46      0.04456736   -756.69098699   -756.64641963
       115       57.500       300.50      0.03140374   -756.69005993   -756.65865619
       116       58.000       356.16      0.03722009   -756.69139276   -756.65417267
       117       58.500       369.12      0.03857450   -756.69226291   -756.65368841
       118       59.000       341.86      0.03572606   -756.69248440   -756.65675835
       119       59.500       252.63      0.02640103   -756.69294163   -756.66654059
       120       60.000       289.74      0.03027925   -756.69241081   -756.66213156
       121       60.500       389.51      0.04070558   -756.69234944   -756.65164386
       122       61.000       328.70      0.03435041   -756.69269854   -756.65834814
       123       61.500       293.36      0.03065780   -756.69255636   -756.66189856
       124       62.000       267.78      0.02798478   -756.69337042   -756.66538564
       125       62.500       282.58      0.02953118   -756.69329570   -756.66376452
       126       63.000       295.90      0.03092289   -756.69366850   -756.66274561
       127       63.500       373.71      0.03905419   -756.69354496   -756.65449076
       128       64.000       246.63      0.02577360   -756.69325926   -756.66748565
       129       64.500       220.73      0.02306733   -756.69444163   -756.67137430
       130       65.000       266.70      0.02787142   -756.69449045   -756.66661903
       131       65.500       322.06      0.03365693   -756.69485813   -756.66120120
       132       66.000       398.05      0.04159816   -756.69514597   -756.65354781
       133       66.500       433.57      0.04530966   -756.69399296   -756.64868330
       134       67.000       416.79      0.04355627   -756.69411058   -756.65055431
       135       67.500       296.38      0.03097303   -756.69381429   -756.66284127
       136       68.000       283.94      0.02967286   -756.69433565   -756.66466279
       137       68.500       254.72      0.02661939   -756.69398059   -756.66736120
       138       69.000       258.33      0.02699721   -756.69407935   -756.66708215
       139       69.500       304.53      0.03182467   -756.69417475   -756.66235008
       140       70.000       268.03      0.02801067   -756.69538730   -756.66737663
       141       70.500       469.44      0.04905903   -756.69531307   -756.64625404
       142       71.000       340.17      0.03554906   -756.69562913   -756.66008007
       143       71.500       362.74      0.03790787   -756.69580415   -756.65789628
       144       72.000       238.51      0.02492590   -756.69622138   -756.67129549
       145       72.500       324.27      0.03388725   -756.69664780   -756.66276055
       146       73.000       302.96      0.03166104   -756.69633539   -756.66467435
       147       73.500       280.97      0.02936268   -756.69663732   -756.66727465
       148       74.000       328.78      0.03435914   -756.69693329   -756.66257415
       149       74.500       284.91      0.02977414   -756.69662425   -756.66685011
       150       75.000       318.22      0.03325563   -756.69653253   -756.66327690
       151       75.500       257.67      0.02692753   -756.69726736   -756.67033983
       152       76.000       216.25      0.02259869   -756.69793721   -756.67533852
       153       76.500       299.05      0.03125203   -756.69839639   -756.66714436
       154       77.000       298.31      0.03117455   -756.69831831   -756.66714375
       155       77.500       318.83      0.03331882   -756.69825978   -756.66494096
       156       78.000       418.27      0.04371126   -756.69923454   -756.65552328
       157       78.500       337.43      0.03526292   -756.69828305   -756.66302014
       158       79.000       293.16      0.03063660   -756.69793619   -756.66729959
       159       79.500       292.54      0.03057232   -756.69830629   -756.66773397
       160       80.000       300.54      0.03140790   -756.69844364   -756.66703573
       161       80.500       423.50      0.04425822   -756.70007850   -756.65582028
       162       81.000       348.83      0.03645436   -756.69993849   -756.66348413
       163       81.500       351.73      0.03675716   -756.69997610   -756.66321893
       164       82.000       254.03      0.02654727   -756.70025171   -756.67370443
       165       82.500       244.08      0.02550793   -756.70080990   -756.67530197
       166       83.000       352.09      0.03679496   -756.70066323   -756.66386826
       167       83.500       459.10      0.04797855   -756.70006869   -756.65209014
       168       84.000       368.29      0.03848805   -756.70004416   -756.66155610
       169       84.500       374.43      0.03913020   -756.70013682   -756.66100662
       170       85.000       296.21      0.03095525   -756.70069379   -756.66973854
       171       85.500       291.20      0.03043231   -756.70091980   -756.67048749
       172       86.000       254.30      0.02657568   -756.70154287   -756.67496719
       173       86.500       364.06      0.03804651   -756.70128675   -756.66324024
       174       87.000       360.32      0.03765475   -756.70158664   -756.66393189
       175       87.500       259.81      0.02715128   -756.70223603   -756.67508474
       176       88.000       226.35      0.02365447   -756.70155584   -756.67790136
       177       88.500       197.36      0.02062542   -756.70194528   -756.68131985
       178       89.000       366.85      0.03833749   -756.70241525   -756.66407777
       179       89.500       382.47      0.03997035   -756.70242058   -756.66245023
       180       90.000       380.30      0.03974318   -756.70165586   -756.66191268
       181       90.500       239.59      0.02503864   -756.70134236   -756.67630372
       182       91.000       337.49      0.03526953   -756.70169119   -756.66642166
       183       91.500       308.19      0.03220782   -756.70273842   -756.67053061
       184       92.000       298.80      0.03122583   -756.70292291   -756.67169708
       185       92.500       390.65      0.04082437   -756.70219996   -756.66137559
       186       93.000       306.40      0.03201992   -756.70159411   -756.66957419
       187       93.500       307.93      0.03218042   -756.70243316   -756.67025274
       188       94.000       302.76      0.03163940   -756.70311507   -756.67147567
       189       94.500       359.44      0.03756277   -756.70259988   -756.66503711
       190       95.000       366.40      0.03829105   -756.70225926   -756.66396821
       191       95.500       308.64      0.03225481   -756.70258551   -756.67033071
       192       96.000       304.33      0.03180372   -756.70218766   -756.67038394
       193       96.500       350.98      0.03667912   -756.70234246   -756.66566334
       194       97.000       306.53      0.03203406   -756.70176507   -756.66973100
       195       97.500       266.17      0.02781627   -756.70165624   -756.67383997
       196       98.000       349.02      0.03647414   -756.70332907   -756.66685493
       197       98.500       256.24      0.02677801   -756.70354601   -756.67676799
       198       99.000       336.53      0.03516927   -756.70278440   -756.66761514
       199       99.500       294.66      0.03079368   -756.70279124   -756.67199755
       200      100.000       290.87      0.03039679   -756.70304445   -756.67264766
       201      100.500       380.58      0.03977248   -756.70321730   -756.66344483
       202      101.000       295.93      0.03092574   -756.70363471   -756.67270897
       203      101.500       233.89      0.02444250   -756.70338157   -756.67893907
       204      102.000       339.45      0.03547465   -756.70402286   -756.66854821
       205      102.500       272.32      0.02845834   -756.70461129   -756.67615296
       206      103.000       278.33      0.02908639   -756.70476970   -756.67568331
       207      103.500       275.72      0.02881367   -756.70425048   -756.67543682
       208      104.000       330.46      0.03453476   -756.70446967   -756.66993491
       209      104.500       330.65      0.03455425   -756.70334526   -756.66879101
       210      105.000       287.83      0.03008008   -756.70395630   -756.67387622
       211      105.500       271.55      0.02837827   -756.70446318   -756.67608491
       212      106.000       261.72      0.02735106   -756.70482729   -756.67747623
       213      106.500       417.89      0.04367198   -756.70484674   -756.66117476
       214      107.000       308.19      0.03220717   -756.70549055   -756.67328337
       215      107.500       322.05      0.03365606   -756.70575680   -756.67210074
       216      108.000       291.23      0.03043452   -756.70620169   -756.67576716
       217      108.500       350.63      0.03664234   -756.70633178   -756.66968944
       218      109.000       396.42      0.04142748   -756.70609907   -756.66467159
       219      109.500       377.07      0.03940570   -756.70621655   -756.66681085
       220      110.000       297.30      0.03106914   -756.70623309   -756.67516395
